No.,Time,Source,Destination,Protocol,Length,Info,Clasificacion_MLP,Clasificacion_RF,Confianza_MLP,Confianza_RF
3846,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4587283 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3847,6.982786,2.19.172.145,10.157.66.26,TCP,1514,"443  >  50089 [PSH, ACK] Seq=4588743 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874]",Normal,Normal,100.0%,100.0%
3848,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4590203 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3849,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4591663 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3850,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4593123 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3851,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4594583 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3852,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4596043 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3853,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4597503 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3854,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4598963 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3855,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4600423 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
